ID_Transacao,Status_Pedido,Valor_Compra,Idade_Cliente,CEP
2505,Cancelado,,56.0,021600-000
1861,Cancelado,,26.0,013747-000
4461,Entregue,131.00942807574563,23.0,089415-000
3640,Em Trânsito,164.23145958363767,36.0,088553-000
1998,Cancelado,,65.0,034815-000
3372,Entregue,121.20790641505297,64.0,094500-000
4140,Em Trânsito,167.02312232418282,24.0,034714-000
4731,Em Trânsito,237.27753550725066,33.0,028890-000
3495,Em Trânsito,196.06590244190767,22.0,071509-000
2551,Cancelado,,33.0,071824-000
3866,Cancelado,,18.0,014725-000
2640,Cancelado,,68.0,053205-000
4236,Em Trânsito,100.59070383820963,54.0,030684-000
2511,Cancelado,,56.0,067911-000
2736,Entregue,215.7735522685,36.0,023092-000
3756,Cancelado,,,049770-000
2449,Cancelado,,54.0,035457-000
4768,Em Trânsito,155.56632492531554,34.0,081667-000
2857,Cancelado,,43.0,072894-000
1264,Entregue,169.14005991506752,39.0,071305-000
4946,Em Trânsito,148.8590619634826,25.0,022612-000
3659,Entregue,122.91571988521598,50.0,088627-000
4413,Em Trânsito,167.04339225629136,,047089-000
3879,Em Trânsito,132.590871451869,47.0,062137-000
4797,Cancelado,,64.0,010559-000
4349,Entregue,146.2014460270843,,076249-000
3721,Em Trânsito,131.37540600649265,35.0,047361-000
2462,Cancelado,,60.0,090720-000
1156,Em Trânsito,175.70976263736506,,025261-000
2445,Em Trânsito,152.12851706895165,,030372-000
3298,Em Trânsito,239.3710427733214,41.0,065355-000
3925,Em Trânsito,98.38275808111956,73.0,067920-000
2632,Em Trânsito,181.26490961164956,21.0,042544-000
3577,Em Trânsito,145.86767659866797,54.0,010037-000
3374,Cancelado,,21.0,053032-000
4008,Em Trânsito,177.44859585307336,,088233-000
1894,Entregue,166.23442908175423,42.0,051420-000
3144,Cancelado,,30.0,044600-000
1512,Entregue,114.84394726671903,35.0,058285-000
1215,Em Trânsito,165.56963963204652,41.0,072008-000
4203,Entregue,80.88486954316191,,099520-000
4331,Em Trânsito,83.18579557075145,65.0,015167-000
3172,Em Trânsito,200.62192184147477,50.0,010432-000
4153,Cancelado,,36.0,079687-000
4354,Cancelado,,,081947-000
2706,Em Trânsito,97.54367543705206,45.0,060903-000
3106,Cancelado,,52.0,064149-000
2567,Entregue,159.22726511696732,74.0,097640-000
3208,Cancelado,,,066768-000
3331,Cancelado,,27.0,070184-000
3153,Entregue,104.05233904205889,18.0,075792-000
2128,Cancelado,,59.0,043439-000
4510,Em Trânsito,352.6275061105978,,043257-000
1227,Entregue,137.49926570323188,26.0,054674-000
4771,Em Trânsito,105.88946020020475,64.0,061248-000
4653,Entregue,114.20996186292805,32.0,093602-000
3365,Em Trânsito,137.7930041845335,,055371-000
2487,Em Trânsito,130.36313186057703,74.0,077996-000
1801,Cancelado,,22.0,047297-000
2622,Em Trânsito,148.9286723136718,58.0,064273-000
2905,Cancelado,,39.0,071256-000
3921,Entregue,102.2256751364403,58.0,044743-000
1471,Em Trânsito,168.46655105780656,40.0,078752-000
2079,Em Trânsito,156.0523474940342,24.0,089803-000
3672,Entregue,174.8290835274963,73.0,085117-000
3060,Entregue,64.27729731374215,40.0,080051-000
4511,Em Trânsito,157.8422121845739,61.0,032076-000
2041,Entregue,50.720184204899184,42.0,085312-000
3741,Cancelado,,44.0,097483-000
4020,Entregue,182.8968146376538,58.0,012963-000
3160,Entregue,202.28895758011828,,082322-000
1228,Em Trânsito,166.72300320485024,72.0,023866-000
1170,Cancelado,,51.0,042305-000
1294,Entregue,135.04975189587702,,072403-000
1188,Cancelado,,66.0,092896-000
1425,Cancelado,,50.0,042813-000
1976,Cancelado,,68.0,076729-000
2102,Em Trânsito,91.35080742673033,23.0,070686-000
3705,Entregue,63.266803923350466,54.0,014512-000
1918,Em Trânsito,126.74652754682123,48.0,032666-000
4253,Entregue,209.59342531543325,51.0,026630-000
1498,Entregue,152.4369577014384,58.0,084519-000
2821,Em Trânsito,38.79900888193572,46.0,010636-000
3809,Cancelado,,31.0,013775-000
1865,Cancelado,,53.0,077957-000
1825,Entregue,29.216631026725977,53.0,074591-000
4779,Em Trânsito,151.2083076025095,,088561-000
2858,Cancelado,,32.0,084816-000
3118,Cancelado,,25.0,021351-000
3295,Entregue,230.22537900827007,43.0,065184-000
1145,Entregue,97.1198899607536,,079180-000
2641,Em Trânsito,116.63576322718595,65.0,091678-000
4846,Entregue,115.97085569666609,38.0,083309-000
2319,Cancelado,,45.0,020778-000
3629,Cancelado,,,022501-000
1469,Cancelado,,,012108-000
4577,Cancelado,,39.0,046382-000
1192,Em Trânsito,156.04309395131992,,085787-000
2091,Em Trânsito,106.56041264202473,33.0,033341-000
3541,Entregue,133.85567977106967,,087214-000
4888,Entregue,179.72499033747786,57.0,024367-000
1051,Entregue,112.21475066467536,55.0,079868-000
3929,Em Trânsito,133.06787456349102,59.0,022002-000
3410,Cancelado,,54.0,095820-000
2820,Entregue,144.80966594328314,46.0,069949-000
3964,Cancelado,,35.0,025700-000
3521,Entregue,179.32803840534393,27.0,089305-000
2869,Entregue,246.87771509811688,59.0,072543-000
3568,Entregue,17.076178407289405,56.0,039318-000
2786,Entregue,141.6304330397279,35.0,099859-000
2454,Entregue,81.77819638789036,18.0,037610-000
2867,Cancelado,,56.0,082499-000
4369,Entregue,194.0433665347039,38.0,083374-000
4506,Cancelado,,18.0,075226-000
4767,Em Trânsito,212.23572884092042,32.0,055167-000
3738,Entregue,211.7646257425212,,087779-000
4269,Cancelado,,37.0,037939-000
4199,Em Trânsito,219.92651373535818,27.0,071365-000
3579,Em Trânsito,229.84248973029213,40.0,077381-000
3007,Em Trânsito,156.9400227270755,,056710-000
2434,Cancelado,,51.0,026766-000
1839,Entregue,152.0618509258289,63.0,022780-000
4136,Entregue,220.51162577754394,65.0,058458-000
4765,Cancelado,,50.0,066221-000
1240,Entregue,119.52397591534077,51.0,011509-000
4440,Cancelado,,56.0,099493-000
1535,Entregue,141.31854833811747,27.0,044346-000
2407,Em Trânsito,154.21940971641513,71.0,092799-000
4502,Entregue,102.7073669312023,37.0,056874-000
1082,Cancelado,,18.0,036148-000
1981,Cancelado,,,041533-000
4902,Em Trânsito,96.15122268347456,18.0,088467-000
4768,Cancelado,,22.0,011359-000
1950,Entregue,210.59518015528923,33.0,070313-000
4899,Entregue,201.57163391461546,32.0,030344-000
1610,Em Trânsito,145.79221046892502,,079778-000
1573,Cancelado,,,030601-000
3333,Em Trânsito,96.8413322130325,48.0,029116-000
1988,Entregue,170.7316447620669,40.0,066985-000
4605,Em Trânsito,158.48158530928103,65.0,040782-000
1458,Cancelado,,62.0,059819-000
4283,Em Trânsito,204.35511810078714,60.0,094416-000
3173,Cancelado,,34.0,079035-000
4484,Cancelado,,66.0,054458-000
2522,Entregue,200.06532685386128,,018080-000
3472,Entregue,104.21306648097391,30.0,098743-000
3601,Entregue,206.98189060070158,31.0,043957-000
3657,Cancelado,,,023908-000
2984,Em Trânsito,121.92380713926343,45.0,088287-000
2566,Cancelado,,59.0,057482-000
4229,Entregue,180.7038111524546,49.0,048314-000
3159,Entregue,162.49645131315947,52.0,084921-000
3449,Em Trânsito,121.92584876169882,48.0,093768-000
4830,Entregue,103.54306045120907,34.0,025831-000
1121,Entregue,218.93611133500337,64.0,030125-000
1272,Entregue,143.31980311984148,26.0,072451-000
2317,Em Trânsito,111.63523127397121,27.0,055708-000
1397,Cancelado,,25.0,027682-000
3518,Entregue,117.14685404291438,,092824-000
1984,Em Trânsito,206.93085357268927,30.0,045794-000
2230,Entregue,92.45047179947133,,069372-000
2133,Em Trânsito,132.25268848965135,,049477-000
4511,Entregue,175.11456126911932,23.0,063863-000
2301,Em Trânsito,147.10815251979875,47.0,099941-000
4639,Entregue,162.18815107565263,48.0,048737-000
2910,Cancelado,,,012620-000
4986,Entregue,70.11019240502029,28.0,045057-000
3616,Em Trânsito,223.27881921823553,37.0,050138-000
2505,Entregue,126.10858113129655,65.0,089390-000
4874,Cancelado,,,063024-000
4185,Entregue,185.09787458161628,19.0,019677-000
2916,Em Trânsito,165.43791021556964,,054111-000
3944,Em Trânsito,114.57043665308923,18.0,034074-000
1819,Cancelado,,21.0,027824-000
3900,Em Trânsito,175.68395875124344,53.0,010765-000
4548,Entregue,159.9386825172614,71.0,055439-000
3757,Entregue,158.77924017929448,42.0,058926-000
2956,Entregue,234.11311721285284,,046860-000
3368,Em Trânsito,113.49688903734254,26.0,022975-000
1178,Entregue,170.76279141838734,,084877-000
1896,Entregue,123.56852541999112,40.0,087870-000
3266,Entregue,53.18470968299984,29.0,091371-000
3836,Cancelado,,27.0,036548-000
2972,Em Trânsito,99.26818125116434,,048736-000
2551,Em Trânsito,117.07784169938523,60.0,071562-000
1491,Em Trânsito,258.6474874680432,27.0,050409-000
4962,Cancelado,,47.0,094101-000
1060,Em Trânsito,189.417151042971,,019834-000
2077,Cancelado,,23.0,010840-000
2703,Cancelado,,67.0,089409-000
3585,Em Trânsito,265.3076492373107,19.0,041568-000
3895,Entregue,89.27911631112175,47.0,020846-000
4035,Entregue,172.8119398683657,19.0,015899-000
1064,Em Trânsito,230.56478834551314,49.0,096038-000
4683,Em Trânsito,198.297154273612,59.0,076101-000
1585,Cancelado,,33.0,048773-000
2727,Em Trânsito,160.64326282635642,29.0,084723-000
2506,Em Trânsito,164.93272241297453,74.0,021294-000
3812,Em Trânsito,120.70620865260254,59.0,020447-000
4293,Em Trânsito,169.9133886089663,54.0,057928-000
4676,Em Trânsito,137.9472874841666,68.0,016449-000
3929,Em Trânsito,133.06787456349102,59.0,022002-000
4008,Em Trânsito,177.44859585307336,,088233-000
3797,Em Trânsito,105.12166574998166,34.0,018859-000
2605,Cancelado,,,035651-000
4140,Em Trânsito,167.02312232418282,24.0,034714-000
4503,Cancelado,,59.0,091741-000
3709,Cancelado,,,060411-000
2462,Cancelado,,,091867-000
4169,Entregue,131.37728439753684,31.0,057176-000
2940,Cancelado,,51.0,038261-000
3280,Entregue,167.58728634375154,29.0,065989-000
3266,Entregue,53.18470968299984,29.0,091371-000
3394,Entregue,185.78631695284054,28.0,094880-000
1937,Cancelado,,27.0,019304-000
2487,Em Trânsito,130.36313186057703,74.0,077996-000
3616,Em Trânsito,223.27881921823553,37.0,050138-000
4573,Em Trânsito,196.78372281928966,61.0,032948-000
4592,Em Trânsito,174.43966577633242,23.0,063911-000
1084,Cancelado,,67.0,098031-000
4653,Entregue,114.20996186292805,32.0,093602-000
2622,Em Trânsito,148.9286723136718,58.0,064273-000
2883,Cancelado,,73.0,020082-000
3639,Em Trânsito,103.8703666586236,70.0,078711-000
1293,Cancelado,,45.0,019425-000
2521,Cancelado,,69.0,045645-000
1190,Cancelado,,32.0,043371-000
3659,Entregue,122.91571988521598,50.0,088627-000
2097,Cancelado,,42.0,049534-000
4626,Entregue,191.46419567129433,,019972-000
1480,Cancelado,,,070998-000
3355,Entregue,117.40689329830204,,038743-000
1801,Cancelado,,22.0,047297-000
1998,Cancelado,,65.0,034815-000
2944,Entregue,106.76989294410032,57.0,016791-000
1142,Em Trânsito,240.12559295373777,21.0,098427-000
4096,Em Trânsito,189.5573355756265,41.0,048374-000
1626,Entregue,123.41730876662528,51.0,019967-000
3756,Cancelado,,,049770-000
4663,Cancelado,,60.0,032745-000
1063,Entregue,146.46417621099587,67.0,091754-000
1898,Em Trânsito,220.71475530022107,,079409-000
